id,location,technology,unit_capacity,initial_units
102_PV_2,102,102_PV_2,25.3,1
104_PV_1,104,104_PV_1,26.8,1
212_CSP_1,212,212_CSP_1,200.0,1
101_PV_2,101,101_PV_2,26.7,1
101_PV_3,101,101_PV_3,26.2,1
101_PV_4,101,101_PV_4,25.8,1
103_PV_1,103,103_PV_1,61.5,1
119_PV_1,119,119_PV_1,66.6,1
308_RTPV_1,308,308_RTPV_1,100.9,1
313_RTPV_1,313,313_RTPV_1,101.7,1
313_RTPV_2,313,313_RTPV_2,63.1,1
313_RTPV_3,313,313_RTPV_3,65.4,1
313_RTPV_4,313,313_RTPV_4,67.0,1
313_RTPV_5,313,313_RTPV_5,64.8,1
313_RTPV_6,313,313_RTPV_6,63.8,1
313_RTPV_7,313,313_RTPV_7,64.1,1
313_RTPV_8,313,313_RTPV_8,66.6,1
313_RTPV_9,313,313_RTPV_9,62.4,1
313_RTPV_10,313,313_RTPV_10,66.9,1
313_RTPV_11,313,313_RTPV_11,65.2,1
313_RTPV_12,313,313_RTPV_12,27.8,1
320_RTPV_1,320,320_RTPV_1,27.3,1
320_RTPV_2,320,320_RTPV_2,27.0,1
320_RTPV_3,320,320_RTPV_3,28.3,1
313_RTPV_13,313,313_RTPV_13,27.2,1
320_RTPV_4,320,320_RTPV_4,27.0,1
320_RTPV_5,320,320_RTPV_5,28.2,1
118_RTPV_1,118,118_RTPV_1,9.3,1
118_RTPV_2,118,118_RTPV_2,9.7,1
118_RTPV_3,118,118_RTPV_3,9.4,1
118_RTPV_4,118,118_RTPV_4,9.1,1
118_RTPV_5,118,118_RTPV_5,9.1,1
118_RTPV_6,118,118_RTPV_6,9.7,1
320_RTPV_6,320,320_RTPV_6,9.4,1
118_RTPV_7,118,118_RTPV_7,11.8,1
118_RTPV_8,118,118_RTPV_8,11.2,1
118_RTPV_9,118,118_RTPV_9,10.3,1
118_RTPV_10,118,118_RTPV_10,4.5,1
213_RTPV_1,213,213_RTPV_1,13.2,1
309_WIND_1,309,309_WIND_1,148.3,1
317_WIND_1,317,317_WIND_1,799.1,1
303_WIND_1,303,303_WIND_1,847.0,1
122_WIND_1,122,122_WIND_1,713.5,1
313_STORAGE_1,313,313_STORAGE_1,50.0,1
ENS_101,101,ENS,108.0,1
ENS_102,102,ENS,97.0,1
ENS_103,103,ENS,180.0,1
ENS_104,104,ENS,74.0,1
ENS_105,105,ENS,71.0,1
ENS_106,106,ENS,136.0,1
ENS_107,107,ENS,125.0,1
ENS_108,108,ENS,171.0,1
ENS_109,109,ENS,175.0,1
ENS_110,110,ENS,195.0,1
ENS_111,111,ENS,0.0,1
ENS_112,112,ENS,0.0,1
ENS_113,113,ENS,265.0,1
ENS_114,114,ENS,194.0,1
ENS_115,115,ENS,317.0,1
ENS_116,116,ENS,100.0,1
ENS_117,117,ENS,0.0,1
ENS_118,118,ENS,333.0,1
ENS_119,119,ENS,181.0,1
ENS_120,120,ENS,128.0,1
ENS_121,121,ENS,0.0,1
ENS_122,122,ENS,0.0,1
ENS_123,123,ENS,0.0,1
ENS_124,124,ENS,0.0,1
ENS_201,201,ENS,108.0,1
ENS_202,202,ENS,97.0,1
ENS_203,203,ENS,180.0,1
ENS_204,204,ENS,74.0,1
ENS_205,205,ENS,71.0,1
ENS_206,206,ENS,136.0,1
ENS_207,207,ENS,125.0,1
ENS_208,208,ENS,171.0,1
ENS_209,209,ENS,175.0,1
ENS_210,210,ENS,195.0,1
ENS_211,211,ENS,0.0,1
ENS_212,212,ENS,0.0,1
ENS_213,213,ENS,265.0,1
ENS_214,214,ENS,194.0,1
ENS_215,215,ENS,317.0,1
ENS_216,216,ENS,100.0,1
ENS_217,217,ENS,0.0,1
ENS_218,218,ENS,333.0,1
ENS_219,219,ENS,181.0,1
ENS_220,220,ENS,128.0,1
ENS_221,221,ENS,0.0,1
ENS_222,222,ENS,0.0,1
ENS_223,223,ENS,0.0,1
ENS_224,224,ENS,0.0,1
ENS_301,301,ENS,108.0,1
ENS_302,302,ENS,97.0,1
ENS_303,303,ENS,180.0,1
ENS_304,304,ENS,74.0,1
ENS_305,305,ENS,71.0,1
ENS_306,306,ENS,136.0,1
ENS_307,307,ENS,125.0,1
ENS_308,308,ENS,171.0,1
ENS_309,309,ENS,175.0,1
ENS_310,310,ENS,195.0,1
ENS_311,311,ENS,0.0,1
ENS_312,312,ENS,0.0,1
ENS_313,313,ENS,265.0,1
ENS_314,314,ENS,194.0,1
ENS_315,315,ENS,317.0,1
ENS_316,316,ENS,100.0,1
ENS_317,317,ENS,0.0,1
ENS_318,318,ENS,333.0,1
ENS_319,319,ENS,181.0,1
ENS_320,320,ENS,128.0,1
ENS_321,321,ENS,0.0,1
ENS_322,322,ENS,0.0,1
ENS_323,323,ENS,0.0,1
ENS_324,324,ENS,0.0,1
ENS_325,325,ENS,0.0,1
