id,variable_cost,ramping_rate
CC NG 22,0.02958,1.0
CC NG 23,0.03296,1.0
CC NG 24,0.03527,1.0
CC NG 25,0.03612,1.0
CC NG 26,0.03996,1.0
CC NG 27,0.03612,1.0
CC NG 28,0.03887,1.0
CC NG 29,0.03612,1.0
CC NG 31,0.03301,1.0
CC NG 32,0.03612,1.0
CC NG 33,0.05307,1.0
CC NG 34,0.03417,1.0
CC NG 35,0.03345,1.0
CC NG 36,0.03190,1.0
CC NG 37,0.03190,1.0
CC NG 38,0.03623,1.0
CC NG 39,0.03612,1.0
CC NG 40,0.03270,1.0
CT NG 01,0.05044,1.0
CT NG 02,0.05045,1.0
CT NG 03,0.05045,1.0
CT NG 04,0.05045,1.0
CT NG 05,0.05992,1.0
CT NG 06,0.05992,1.0
CT NG 07,0.05992,1.0
CT NG 08,0.05926,1.0
CT NG 09,0.05036,1.0
CT NG 10,0.05036,1.0
CT NG 11,0.05036,1.0
CT NG 12,0.05036,1.0
CT NG 13,0.05462,1.0
CT NG 14,0.05462,1.0
CT NG 15,0.05462,1.0
CT NG 16,0.05044,1.0
CT NG 17,0.04202,1.0
CT NG 18,0.04202,1.0
CT NG 19,0.04202,1.0
CT NG 20,0.04202,1.0
CT NG 21,0.03300,1.0
CT NG 22,0.03300,1.0
CT NG 23,0.03300,1.0
CT NG 24,0.03300,1.0
CT NG 25,0.03300,1.0
CT NG 26,0.03300,1.0
CT NG 27,0.04202,1.0
CT NG 28,0.05961,1.0
CT NG 29,0.04202,1.0
CT NG 30,0.06014,1.0
CT NG 31,0.04202,1.0
CT NG 32,0.04202,1.0
CT NG 33,0.04202,1.0
CT NG 34,0.03232,1.0
CT NG 35,0.03232,1.0
CT NG 36,0.03232,1.0
CT NG 37,0.04202,1.0
CT NG 38,0.04202,1.0
CT NG 39,0.04202,1.0
CT NG 40,0.04202,1.0
CT NG 41,0.04384,1.0
CT NG 42,0.05856,1.0
CT NG 43,0.05152,1.0
CT NG 44,0.05045,1.0
CT NG 45,0.05045,1.0
CT NG 46,0.03197,1.0
CT NG 47,0.03197,1.0
CT NG 48,0.03197,1.0
CT NG 49,0.03197,1.0
CT NG 50,0.05037,1.0
CT NG 51,0.03082,1.0
CT NG 52,0.03082,1.0
CT NG 53,0.03082,1.0
CT NG 54,0.05062,1.0
CT NG 55,0.06011,1.0
CT NG 56,0.05040,1.0
CT NG 66,0.05034,1.0
CT NG 67,0.05034,1.0
CT NG 68,0.05035,1.0
CT NG 69,0.04249,1.0
CT NG 70,0.05037,1.0
CT NG 71,0.05037,1.0
CT NG 72,0.04252,1.0
CT NG 73,0.04252,1.0
CT NG 74,0.04242,1.0
CT NG 75,0.05790,1.0
CT Oil 01,0.22966,1.0
CT Oil 02,0.22966,1.0
CT Oil 03,0.22966,1.0
CT Oil 04,0.23308,1.0
CT Oil 05,0.23308,1.0
Geo 01,0.00292,1.0
Hydro 16,0.0,1.0
Hydro 17,0.0,1.0
Hydro 18,0.0,1.0
Hydro 19,0.0,1.0
Hydro 20,0.0,1.0
Hydro 21,0.0,1.0
Hydro 22,0.0,1.0
Hydro 23,0.0,1.0
Hydro 24,0.0,1.0
Hydro 25,0.0,1.0
Hydro 26,0.0,1.0
Hydro 27,0.0,1.0
Hydro 28,0.0,1.0
Hydro 29,0.0,1.0
Hydro 30,0.0,1.0
Hydro 31,0.0,1.0
Hydro 32,0.0,1.0
Hydro 33,0.0,1.0
Hydro 34,0.0,1.0
Hydro 35,0.0,1.0
Hydro 36,0.0,1.0
Hydro 37,0.0,1.0
Hydro 38,0.0,1.0
Hydro 39,0.0,1.0
Hydro 40,0.0,1.0
Hydro 41,0.0,1.0
Hydro 42,0.0,1.0
Hydro 43,0.0,1.0
ICE NG 01,0.04464,1.0
ICE NG 02,0.04469,1.0
ICE NG 03,0.04469,1.0
ICE NG 04,0.04469,1.0
ICE NG 05,0.04469,1.0
ICE NG 06,0.04469,1.0
ICE NG 07,0.04469,1.0
Solar 01,0.0,1.0
Solar 02,0.0,1.0
Solar 03,0.0,1.0
Solar 04,0.0,1.0
Solar 05,0.0,1.0
Solar 06,0.0,1.0
Solar 07,0.0,1.0
Solar 08,0.0,1.0
Solar 09,0.0,1.0
Solar 10,0.0,1.0
Solar 11,0.0,1.0
Solar 12,0.0,1.0
Solar 13,0.0,1.0
Solar 14,0.0,1.0
Solar 15,0.0,1.0
Solar 16,0.0,1.0
Solar 17,0.0,1.0
Solar 18,0.0,1.0
Solar 19,0.0,1.0
Solar 20,0.0,1.0
Solar 21,0.0,1.0
Solar 22,0.0,1.0
Solar 23,0.0,1.0
Solar 24,0.0,1.0
Solar 25,0.0,1.0
Solar 26,0.0,1.0
Solar 27,0.0,1.0
Solar 28,0.0,1.0
Solar 29,0.0,1.0
Solar 30,0.0,1.0
Solar 31,0.0,1.0
Solar 32,0.0,1.0
Solar 33,0.0,1.0
Solar 34,0.0,1.0
Solar 35,0.0,1.0
Solar 36,0.0,1.0
Solar 37,0.0,1.0
Solar 38,0.0,1.0
Solar 39,0.0,1.0
Solar 40,0.0,1.0
Solar 41,0.0,1.0
Solar 42,0.0,1.0
Solar 43,0.0,1.0
Solar 44,0.0,1.0
Solar 45,0.0,1.0
Solar 46,0.0,1.0
Solar 47,0.0,1.0
Solar 48,0.0,1.0
Solar 49,0.0,1.0
Solar 50,0.0,1.0
Solar 51,0.0,1.0
Solar 52,0.0,1.0
Solar 53,0.0,1.0
Solar 54,0.0,1.0
Solar 55,0.0,1.0
Solar 56,0.0,1.0
Solar 57,0.0,1.0
Solar 58,0.0,1.0
Solar 59,0.0,1.0
Solar 60,0.0,1.0
Solar 61,0.0,1.0
Solar 62,0.0,1.0
Solar 63,0.0,1.0
Solar 64,0.0,1.0
Solar 65,0.0,1.0
Solar 66,0.0,1.0
Solar 67,0.0,1.0
Solar 68,0.0,1.0
Solar 69,0.0,1.0
Solar 70,0.0,1.0
Solar 71,0.0,1.0
Solar 72,0.0,1.0
Solar 73,0.0,1.0
Solar 74,0.0,1.0
Solar 75,0.0,1.0
ST Coal 01,0.02131,1.0
ST NG 01,0.05126,1.0
ST NG 02,0.05231,1.0
ST NG 03,0.04976,1.0
ST NG 04,0.02410,1.0
ST NG 05,0.02410,1.0
ST NG 06,0.05825,1.0
ST NG 07,0.05741,1.0
ST NG 08,0.05567,1.0
ST NG 09,0.05417,1.0
ST NG 10,0.05772,1.0
ST Other 01,0.060076,1.0
ST Other 02,0.029894999999999998,1.0
Wind 01,0.0,1.0
Wind 02,0.0,1.0
Wind 03,0.0,1.0
Wind 04,0.0,1.0
Wind 05,0.0,1.0
Wind 06,0.0,1.0
Wind 07,0.0,1.0
Wind 08,0.0,1.0
Wind 09,0.0,1.0
Wind 10,0.0,1.0
Wind 11,0.0,1.0
Wind 12,0.0,1.0
Wind 13,0.0,1.0
Wind 14,0.0,1.0
Wind 15,0.0,1.0
Wind 16,0.0,1.0
Wind 17,0.0,1.0
ENS,10.0,1.0
