timestep,HydroDispatch2,HydroDispatch1_inflow,HydroDispatch3_inflow,SolarBusC,WindBusA,4_Demand,2_Demand,3_Demand
72,0.076,0.076,0.076,0.0,0.537,0.459,0.339,0.404
73,0.076,0.076,0.076,0.0,0.192,0.426,0.333,0.389
74,0.066,0.066,0.066,0.0,0.206,0.41,0.328,0.384
75,0.066,0.066,0.066,0.0,0.159,0.397,0.33,0.381
76,0.066,0.066,0.066,0.0,0.316,0.388,0.335,0.38
77,0.076,0.076,0.076,0.0,0.279,0.387,0.35,0.384
78,0.066,0.066,0.066,0.0,0.156,0.396,0.373,0.393
79,0.056,0.056,0.056,0.0,0.127,0.409,0.393,0.403
80,0.066,0.066,0.066,0.539,0.139,0.417,0.401,0.395
81,0.066,0.066,0.066,0.715,0.018,0.446,0.399,0.399
82,0.066,0.066,0.066,0.79,0.0,0.476,0.394,0.401
83,0.066,0.066,0.066,0.799,0.0,0.495,0.388,0.397
84,0.056,0.056,0.056,0.797,0.0,0.503,0.38,0.388
85,0.056,0.056,0.056,0.797,0.033,0.503,0.372,0.392
86,0.056,0.056,0.056,0.759,0.407,0.494,0.364,0.388
87,0.066,0.066,0.066,0.667,0.438,0.486,0.363,0.386
88,0.056,0.056,0.056,0.503,0.517,0.478,0.367,0.38
89,0.066,0.066,0.066,0.0,0.256,0.484,0.391,0.403
90,0.056,0.056,0.056,0.0,0.255,0.541,0.423,0.464
91,0.076,0.076,0.076,0.0,0.711,0.557,0.415,0.465
92,0.066,0.066,0.066,0.0,0.926,0.544,0.405,0.458
93,0.066,0.066,0.066,0.0,0.964,0.529,0.39,0.447
94,0.066,0.066,0.066,0.0,0.991,0.506,0.37,0.434
95,0.066,0.066,0.066,0.0,0.991,0.475,0.35,0.418
96,0.122,0.122,0.122,0.0,0.994,0.447,0.338,0.401
97,0.066,0.066,0.066,0.0,0.99,0.421,0.333,0.388
98,0.066,0.066,0.066,0.0,0.991,0.406,0.33,0.382
99,0.076,0.076,0.076,0.0,0.995,0.398,0.332,0.376
100,0.056,0.056,0.056,0.0,0.989,0.393,0.339,0.376
101,0.056,0.056,0.056,0.0,0.995,0.391,0.351,0.379
102,0.056,0.056,0.056,0.0,0.993,0.391,0.373,0.385
103,0.066,0.066,0.066,0.0,0.992,0.398,0.395,0.392
104,0.066,0.066,0.066,0.534,0.989,0.397,0.402,0.384
105,0.066,0.066,0.066,0.724,0.981,0.414,0.396,0.389
106,0.076,0.076,0.076,0.773,0.986,0.432,0.389,0.394
107,0.066,0.066,0.066,0.768,0.946,0.446,0.377,0.394
108,0.076,0.076,0.076,0.777,0.687,0.454,0.37,0.391
109,0.076,0.076,0.076,0.753,0.529,0.457,0.362,0.389
110,0.084,0.084,0.084,0.74,0.475,0.459,0.356,0.387
111,0.076,0.076,0.076,0.691,0.345,0.459,0.356,0.384
112,0.084,0.084,0.084,0.488,0.361,0.455,0.359,0.383
113,0.076,0.076,0.076,0.0,0.298,0.464,0.388,0.405
114,0.084,0.084,0.084,0.0,0.564,0.527,0.428,0.461
115,0.084,0.084,0.084,0.0,0.523,0.549,0.427,0.467
116,0.076,0.076,0.076,0.0,0.451,0.543,0.418,0.462
117,0.084,0.084,0.084,0.0,0.14,0.526,0.4,0.447
118,0.114,0.114,0.114,0.0,0.098,0.5,0.372,0.429
119,0.076,0.076,0.076,0.0,0.263,0.464,0.346,0.407
120,0.122,0.122,0.122,0.0,0.584,0.432,0.337,0.39
121,0.076,0.076,0.076,0.0,0.701,0.407,0.334,0.38
122,0.076,0.076,0.076,0.0,0.791,0.396,0.334,0.377
123,0.076,0.076,0.076,0.0,0.877,0.388,0.34,0.373
124,0.076,0.076,0.076,0.0,0.911,0.386,0.355,0.375
125,0.076,0.076,0.076,0.0,0.83,0.393,0.396,0.383
126,0.076,0.076,0.076,0.0,0.704,0.417,0.456,0.405
127,0.264,0.264,0.264,0.0,0.651,0.468,0.481,0.437
128,0.254,0.254,0.254,0.519,0.637,0.504,0.456,0.428
129,0.254,0.254,0.254,0.715,0.676,0.535,0.428,0.427
130,0.264,0.264,0.264,0.795,0.893,0.564,0.415,0.423
131,0.254,0.254,0.254,0.808,0.98,0.587,0.405,0.423
132,0.264,0.264,0.264,0.801,0.966,0.6,0.397,0.42
133,0.254,0.254,0.254,0.768,0.917,0.601,0.389,0.41
134,0.254,0.254,0.254,0.746,0.83,0.605,0.382,0.399
135,0.264,0.264,0.264,0.656,0.881,0.602,0.381,0.402
136,0.254,0.254,0.254,0.488,0.966,0.592,0.384,0.4
137,0.284,0.284,0.284,0.0,0.877,0.588,0.41,0.422
138,0.518,0.518,0.518,0.0,0.925,0.645,0.454,0.494
139,0.51,0.51,0.51,0.0,0.863,0.64,0.454,0.509
140,0.518,0.518,0.518,0.0,0.929,0.614,0.445,0.504
141,0.518,0.518,0.518,0.0,0.909,0.585,0.429,0.494
142,0.518,0.518,0.518,0.0,0.978,0.548,0.395,0.471
143,0.518,0.518,0.518,0.0,0.995,0.496,0.367,0.434
144,0.396,0.396,0.396,0.0,0.999,0.455,0.353,0.411
145,0.084,0.084,0.084,0.0,0.998,0.421,0.352,0.384
146,0.076,0.076,0.076,0.0,0.996,0.406,0.351,0.381
147,0.084,0.084,0.084,0.0,0.991,0.396,0.357,0.38
148,0.076,0.076,0.076,0.0,0.991,0.395,0.372,0.382
149,0.084,0.084,0.084,0.0,0.987,0.399,0.414,0.392
150,0.084,0.084,0.084,0.0,0.981,0.421,0.473,0.419
151,0.254,0.254,0.254,0.0,0.992,0.476,0.494,0.454
152,0.254,0.254,0.254,0.545,0.993,0.509,0.469,0.443
153,0.284,0.284,0.284,0.704,0.998,0.541,0.435,0.43
154,0.254,0.254,0.254,0.757,0.995,0.564,0.416,0.42
155,0.264,0.264,0.264,0.77,0.934,0.587,0.401,0.381
156,0.254,0.254,0.254,0.735,0.96,0.597,0.393,0.416
157,0.254,0.254,0.254,0.753,0.99,0.601,0.39,0.41
158,0.264,0.264,0.264,0.735,0.986,0.603,0.381,0.404
159,0.254,0.254,0.254,0.687,0.972,0.606,0.379,0.399
160,0.264,0.264,0.264,0.483,0.986,0.596,0.382,0.4
161,0.5,0.5,0.5,0.0,0.989,0.591,0.408,0.425
162,0.518,0.518,0.518,0.0,0.95,0.64,0.449,0.498
163,0.51,0.51,0.51,0.0,0.993,0.637,0.448,0.513
164,0.416,0.416,0.416,0.0,0.982,0.612,0.444,0.507
165,0.218,0.218,0.218,0.0,0.985,0.588,0.425,0.499
166,0.076,0.076,0.076,0.0,0.924,0.547,0.396,0.474
167,0.076,0.076,0.076,0.0,0.958,0.497,0.366,0.437
168,0.076,0.076,0.076,0.0,0.98,0.452,0.357,0.413
169,0.084,0.084,0.084,0.0,0.898,0.422,0.351,0.4
170,0.076,0.076,0.076,0.0,0.67,0.405,0.354,0.397
171,0.076,0.076,0.076,0.0,0.466,0.397,0.36,0.395
172,0.084,0.084,0.084,0.0,0.628,0.395,0.381,0.398
173,0.076,0.076,0.076,0.0,0.678,0.401,0.42,0.411
174,0.076,0.076,0.076,0.0,0.723,0.425,0.486,0.443
175,0.084,0.084,0.084,0.0,0.951,0.483,0.513,0.484
176,0.076,0.076,0.076,0.514,0.998,0.514,0.487,0.471
177,0.076,0.076,0.076,0.678,0.999,0.543,0.447,0.457
178,0.076,0.076,0.076,0.731,1.0,0.57,0.424,0.445
179,0.076,0.076,0.076,0.728,1.0,0.588,0.408,0.435
180,0.076,0.076,0.076,0.759,0.978,0.598,0.395,0.427
181,0.076,0.076,0.076,0.768,0.982,0.595,0.388,0.417
182,0.084,0.084,0.084,0.751,0.984,0.594,0.382,0.413
183,0.084,0.084,0.084,0.675,0.992,0.59,0.379,0.406
184,0.264,0.264,0.264,0.506,0.988,0.582,0.385,0.413
185,0.254,0.254,0.254,0.0,0.991,0.581,0.411,0.451
186,0.264,0.264,0.264,0.0,0.997,0.64,0.454,0.511
187,0.18,0.18,0.18,0.0,0.996,0.641,0.453,0.521
188,0.084,0.084,0.084,0.0,0.993,0.618,0.446,0.516
189,0.076,0.076,0.076,0.0,0.979,0.595,0.434,0.5
190,0.076,0.076,0.076,0.0,0.98,0.552,0.401,0.474
191,0.076,0.076,0.076,0.0,0.99,0.504,0.372,0.439
192,0.076,0.076,0.076,0.0,0.991,0.459,0.359,0.414
193,0.056,0.056,0.056,0.0,0.99,0.427,0.356,0.401
194,0.056,0.056,0.056,0.0,0.986,0.409,0.357,0.394
195,0.056,0.056,0.056,0.0,0.997,0.404,0.364,0.393
196,0.056,0.056,0.056,0.0,0.995,0.402,0.381,0.396
197,0.056,0.056,0.056,0.0,0.993,0.405,0.424,0.406
198,0.056,0.056,0.056,0.0,0.991,0.429,0.49,0.437
199,0.066,0.066,0.066,0.0,0.993,0.481,0.511,0.472
200,0.048,0.048,0.048,0.514,0.994,0.517,0.486,0.457
201,0.066,0.066,0.066,0.669,0.988,0.557,0.449,0.446
202,0.048,0.048,0.048,0.728,0.975,0.584,0.425,0.436
203,0.056,0.056,0.056,0.775,0.855,0.594,0.408,0.416
204,0.056,0.056,0.056,0.786,0.548,0.599,0.398,0.404
205,0.056,0.056,0.056,0.786,0.299,0.599,0.389,0.399
206,0.056,0.056,0.056,0.766,0.185,0.605,0.383,0.394
207,0.056,0.056,0.056,0.706,0.073,0.599,0.38,0.391
208,0.066,0.066,0.066,0.503,0.035,0.596,0.382,0.394
209,0.066,0.066,0.066,0.0,0.062,0.591,0.406,0.413
210,0.066,0.066,0.066,0.0,0.095,0.65,0.451,0.485
211,0.076,0.076,0.076,0.0,0.204,0.65,0.452,0.498
212,0.076,0.076,0.076,0.0,0.429,0.619,0.445,0.493
213,0.084,0.084,0.084,0.0,0.559,0.589,0.431,0.479
214,0.094,0.094,0.094,0.0,0.79,0.547,0.401,0.455
215,0.094,0.094,0.094,0.0,0.76,0.498,0.371,0.426
216,0.094,0.094,0.094,0.0,0.824,0.453,0.355,0.403
217,0.076,0.076,0.076,0.0,0.759,0.422,0.352,0.391
218,0.066,0.066,0.066,0.0,0.587,0.408,0.352,0.385
219,0.056,0.056,0.056,0.0,0.686,0.401,0.358,0.383
220,0.066,0.066,0.066,0.0,0.686,0.398,0.374,0.385
221,0.066,0.066,0.066,0.0,0.536,0.401,0.415,0.395
222,0.066,0.066,0.066,0.0,0.312,0.425,0.479,0.419
223,0.066,0.066,0.066,0.0,0.192,0.477,0.5,0.444
224,0.066,0.066,0.066,0.523,0.351,0.514,0.475,0.435
225,0.066,0.066,0.066,0.669,0.593,0.547,0.44,0.429
226,0.066,0.066,0.066,0.728,0.62,0.577,0.418,0.426
227,0.076,0.076,0.076,0.762,0.582,0.595,0.405,0.423
228,0.066,0.066,0.066,0.746,0.507,0.604,0.393,0.417
229,0.066,0.066,0.066,0.711,0.51,0.603,0.384,0.411
230,0.066,0.066,0.066,0.711,0.61,0.601,0.382,0.406
231,0.066,0.066,0.066,0.693,0.746,0.593,0.376,0.401
232,0.066,0.066,0.066,0.486,0.63,0.577,0.378,0.398
233,0.066,0.066,0.066,0.0,0.523,0.577,0.395,0.413
234,0.066,0.066,0.066,0.0,0.0,0.62,0.429,0.472
235,0.076,0.076,0.076,0.0,0.0,0.619,0.422,0.479
236,0.066,0.066,0.066,0.0,0.084,0.592,0.415,0.472
237,0.076,0.076,0.076,0.0,0.354,0.569,0.404,0.463
238,0.084,0.084,0.084,0.0,0.236,0.535,0.382,0.448
239,0.076,0.076,0.076,0.0,0.373,0.496,0.356,0.426
240,0.076,0.076,0.076,0.0,0.394,0.458,0.341,0.404
241,0.076,0.076,0.076,0.0,0.199,0.427,0.333,0.391
242,0.066,0.066,0.066,0.0,0.128,0.409,0.332,0.385
243,0.066,0.066,0.066,0.0,0.106,0.401,0.332,0.381
244,0.066,0.066,0.066,0.0,0.28,0.393,0.338,0.38
245,0.076,0.076,0.076,0.0,0.286,0.393,0.35,0.382
246,0.066,0.066,0.066,0.0,0.214,0.4,0.374,0.388
247,0.056,0.056,0.056,0.0,0.094,0.414,0.398,0.397
248,0.066,0.066,0.066,0.545,0.059,0.425,0.411,0.392
249,0.066,0.066,0.066,0.74,0.045,0.462,0.41,0.398
250,0.066,0.066,0.066,0.799,0.022,0.502,0.4,0.401
251,0.066,0.066,0.066,0.653,0.0,0.529,0.393,0.397
252,0.056,0.056,0.056,0.011,0.093,0.529,0.382,0.394
253,0.056,0.056,0.056,0.009,0.322,0.52,0.374,0.39
254,0.056,0.056,0.056,0.598,0.475,0.507,0.364,0.388
255,0.066,0.066,0.066,0.461,0.712,0.494,0.362,0.386
256,0.056,0.056,0.056,0.552,0.75,0.486,0.364,0.389
257,0.066,0.066,0.066,0.0,0.898,0.494,0.385,0.409
258,0.056,0.056,0.056,0.0,0.688,0.553,0.419,0.463
259,0.076,0.076,0.076,0.0,0.254,0.574,0.414,0.465
260,0.066,0.066,0.066,0.0,0.172,0.558,0.405,0.46
261,0.066,0.066,0.066,0.0,0.098,0.542,0.39,0.449
262,0.066,0.066,0.066,0.0,0.373,0.517,0.369,0.433
263,0.066,0.066,0.066,0.0,0.234,0.483,0.345,0.416
264,0.122,0.122,0.122,0.0,0.339,0.453,0.332,0.398
265,0.066,0.066,0.066,0.0,0.483,0.429,0.323,0.385
266,0.066,0.066,0.066,0.0,0.43,0.411,0.319,0.38
267,0.076,0.076,0.076,0.0,0.498,0.403,0.316,0.375
268,0.056,0.056,0.056,0.0,0.548,0.395,0.317,0.374
269,0.056,0.056,0.056,0.0,0.5,0.395,0.328,0.376
270,0.056,0.056,0.056,0.0,0.532,0.4,0.348,0.383
271,0.066,0.066,0.066,0.0,0.488,0.406,0.368,0.39
272,0.066,0.066,0.066,0.561,0.489,0.41,0.38,0.383
273,0.066,0.066,0.066,0.762,0.454,0.429,0.382,0.389
274,0.076,0.076,0.076,0.821,0.475,0.447,0.381,0.395
275,0.066,0.066,0.066,0.832,0.481,0.458,0.376,0.394
276,0.076,0.076,0.076,0.828,0.356,0.457,0.371,0.397
277,0.076,0.076,0.076,0.819,0.292,0.462,0.363,0.393
278,0.084,0.084,0.084,0.804,0.293,0.458,0.356,0.393
279,0.076,0.076,0.076,0.74,0.29,0.452,0.356,0.392
280,0.084,0.084,0.084,0.6,0.284,0.451,0.362,0.394
281,0.076,0.076,0.076,0.0,0.202,0.465,0.388,0.414
282,0.084,0.084,0.084,0.0,0.407,0.539,0.433,0.486
283,0.084,0.084,0.084,0.0,0.494,0.576,0.434,0.5
284,0.076,0.076,0.076,0.0,0.415,0.573,0.423,0.493
285,0.084,0.084,0.084,0.0,0.236,0.553,0.411,0.481
286,0.114,0.114,0.114,0.0,0.206,0.526,0.391,0.466
287,0.076,0.076,0.076,0.0,0.376,0.494,0.364,0.447
288,0.122,0.122,0.122,0.0,0.464,0.458,0.351,0.424
289,0.094,0.094,0.094,0.0,0.546,0.43,0.349,0.41
290,0.076,0.076,0.076,0.0,0.738,0.411,0.35,0.403
291,0.084,0.084,0.084,0.0,0.869,0.404,0.355,0.4
292,0.076,0.076,0.076,0.0,0.957,0.401,0.373,0.402
293,0.076,0.076,0.076,0.0,0.765,0.406,0.404,0.411
294,0.084,0.084,0.084,0.0,0.95,0.427,0.45,0.431
295,0.076,0.076,0.076,0.0,0.591,0.468,0.475,0.453
296,0.066,0.066,0.066,0.55,0.585,0.49,0.474,0.441
297,0.056,0.056,0.056,0.773,0.227,0.525,0.46,0.445
298,0.066,0.066,0.066,0.781,0.171,0.556,0.449,0.452
299,0.066,0.066,0.066,0.775,0.305,0.572,0.435,0.444
300,0.066,0.066,0.066,0.808,0.043,0.573,0.417,0.435
301,0.076,0.076,0.076,0.821,0.105,0.564,0.405,0.427
302,0.084,0.084,0.084,0.812,0.195,0.562,0.393,0.419
303,0.094,0.094,0.094,0.775,0.601,0.552,0.388,0.413
304,0.076,0.076,0.076,0.592,0.496,0.543,0.393,0.411
305,0.084,0.084,0.084,0.0,0.707,0.551,0.432,0.435
306,0.076,0.076,0.076,0.0,0.979,0.618,0.477,0.517
307,0.084,0.084,0.084,0.0,0.949,0.633,0.48,0.53
308,0.076,0.076,0.076,0.0,0.337,0.618,0.473,0.533
309,0.076,0.076,0.076,0.0,0.364,0.589,0.461,0.518
310,0.084,0.084,0.084,0.0,0.549,0.551,0.428,0.496
311,0.076,0.076,0.076,0.0,0.234,0.506,0.395,0.465
312,0.076,0.076,0.076,0.0,0.434,0.461,0.388,0.435
313,0.104,0.104,0.104,0.0,0.781,0.429,0.385,0.418
314,0.076,0.076,0.076,0.0,0.871,0.41,0.388,0.413
315,0.076,0.076,0.076,0.0,0.997,0.404,0.397,0.409
316,0.076,0.076,0.076,0.0,0.988,0.401,0.417,0.413
317,0.076,0.076,0.076,0.0,0.997,0.405,0.464,0.425
318,0.076,0.076,0.076,0.0,0.997,0.433,0.536,0.46
319,0.076,0.076,0.076,0.0,0.992,0.494,0.562,0.498
320,0.076,0.076,0.076,0.558,0.982,0.535,0.526,0.483
321,0.056,0.056,0.056,0.733,0.983,0.568,0.481,0.466
322,0.076,0.076,0.076,0.768,0.972,0.583,0.451,0.452
323,0.076,0.076,0.076,0.751,0.92,0.601,0.427,0.44
324,0.076,0.076,0.076,0.775,0.914,0.6,0.412,0.428
325,0.076,0.076,0.076,0.737,0.895,0.602,0.398,0.418
326,0.076,0.076,0.076,0.742,0.836,0.595,0.39,0.409
327,0.076,0.076,0.076,0.684,0.84,0.592,0.384,0.405
328,0.076,0.076,0.076,0.543,0.792,0.581,0.389,0.404
329,0.076,0.076,0.076,0.0,0.486,0.578,0.418,0.43
330,0.084,0.084,0.084,0.0,0.088,0.661,0.472,0.504
331,0.076,0.076,0.076,0.0,0.782,0.674,0.477,0.518
332,0.076,0.076,0.076,0.0,0.91,0.639,0.475,0.514
333,0.076,0.076,0.076,0.0,0.955,0.607,0.465,0.499
334,0.076,0.076,0.076,0.0,0.43,0.569,0.429,0.471
335,0.076,0.076,0.076,0.0,0.496,0.513,0.4,0.439
336,0.076,0.076,0.076,0.0,0.608,0.463,0.384,0.409
337,0.094,0.094,0.094,0.0,0.718,0.431,0.38,0.397
338,0.076,0.076,0.076,0.0,0.452,0.411,0.38,0.392
339,0.094,0.094,0.094,0.0,0.351,0.403,0.386,0.389
340,0.084,0.084,0.084,0.0,0.494,0.399,0.405,0.391
341,0.076,0.076,0.076,0.0,0.22,0.407,0.454,0.402
342,0.076,0.076,0.076,0.0,0.159,0.431,0.52,0.43
343,0.076,0.076,0.076,0.0,0.22,0.497,0.543,0.467
344,0.084,0.084,0.084,0.499,0.508,0.536,0.516,0.453
345,0.076,0.076,0.076,0.651,0.534,0.563,0.474,0.439
346,0.076,0.076,0.076,0.408,0.568,0.585,0.444,0.429
347,0.084,0.084,0.084,0.309,0.604,0.604,0.421,0.426
348,0.076,0.076,0.076,0.342,0.276,0.611,0.408,0.42
349,0.066,0.066,0.066,0.662,0.272,0.607,0.397,0.417
350,0.076,0.076,0.076,0.786,0.166,0.604,0.389,0.413
351,0.076,0.076,0.076,0.706,0.295,0.595,0.384,0.407
352,0.076,0.076,0.076,0.618,0.216,0.591,0.388,0.405
353,0.084,0.084,0.084,0.0,0.128,0.608,0.415,0.427
354,0.076,0.076,0.076,0.0,0.0,0.669,0.467,0.494
355,0.076,0.076,0.076,0.0,0.0,0.674,0.47,0.505
356,0.264,0.264,0.264,0.0,0.0,0.656,0.466,0.496
357,0.264,0.264,0.264,0.0,0.0,0.62,0.452,0.479
358,0.076,0.076,0.076,0.0,0.231,0.576,0.414,0.452
359,0.056,0.056,0.056,0.0,0.0,0.515,0.38,0.419
360,0.056,0.056,0.056,0.0,0.0,0.465,0.364,0.394
361,0.076,0.076,0.076,0.0,0.0,0.431,0.358,0.38
362,0.056,0.056,0.056,0.0,0.163,0.417,0.357,0.376
363,0.056,0.056,0.056,0.0,0.428,0.406,0.357,0.376
364,0.056,0.056,0.056,0.0,0.376,0.403,0.373,0.378
365,0.056,0.056,0.056,0.0,0.337,0.408,0.41,0.384
366,0.066,0.066,0.066,0.0,0.448,0.433,0.469,0.404
367,0.056,0.056,0.056,0.0,0.273,0.489,0.496,0.436
368,0.056,0.056,0.056,0.581,0.173,0.529,0.471,0.435
369,0.056,0.056,0.056,0.786,0.271,0.558,0.444,0.433
370,0.056,0.056,0.056,0.83,0.327,0.578,0.429,0.428
371,0.066,0.066,0.066,0.832,0.634,0.594,0.419,0.417
372,0.076,0.076,0.076,0.841,0.599,0.598,0.411,0.414
373,0.076,0.076,0.076,0.823,0.556,0.594,0.404,0.41
374,0.084,0.084,0.084,0.792,0.575,0.592,0.399,0.405
375,0.076,0.076,0.076,0.757,0.382,0.583,0.394,0.403
376,0.084,0.084,0.084,0.62,0.325,0.573,0.4,0.403
377,0.084,0.084,0.084,0.0,0.525,0.576,0.425,0.422
378,0.264,0.264,0.264,0.0,0.815,0.641,0.474,0.493
379,0.264,0.264,0.264,0.0,0.967,0.661,0.476,0.511
380,0.264,0.264,0.264,0.0,0.972,0.642,0.468,0.512
381,0.236,0.236,0.236,0.0,0.953,0.618,0.457,0.498
382,0.056,0.056,0.056,0.0,0.921,0.578,0.421,0.472
383,0.056,0.056,0.056,0.0,0.976,0.524,0.391,0.437
384,0.056,0.056,0.056,0.0,0.968,0.474,0.378,0.41
385,0.066,0.066,0.066,0.0,0.949,0.44,0.377,0.401
386,0.066,0.066,0.066,0.0,0.983,0.421,0.378,0.396
387,0.066,0.066,0.066,0.0,0.932,0.411,0.385,0.395
388,0.066,0.066,0.066,0.0,0.995,0.409,0.402,0.399
389,0.066,0.066,0.066,0.0,0.989,0.414,0.446,0.411
390,0.076,0.076,0.076,0.0,0.96,0.44,0.512,0.441
391,0.076,0.076,0.076,0.0,0.979,0.497,0.541,0.479
392,0.076,0.076,0.076,0.576,0.953,0.541,0.506,0.467
393,0.076,0.076,0.076,0.737,0.935,0.565,0.465,0.456
394,0.084,0.084,0.084,0.792,0.978,0.586,0.436,0.446
395,0.076,0.076,0.076,0.808,0.966,0.593,0.413,0.435
396,0.114,0.114,0.114,0.801,0.968,0.599,0.399,0.423
397,0.264,0.264,0.264,0.806,0.997,0.592,0.388,0.415
398,0.264,0.264,0.264,0.77,0.995,0.587,0.379,0.411
399,0.264,0.264,0.264,0.742,0.943,0.579,0.373,0.403
400,0.264,0.264,0.264,0.598,0.987,0.566,0.376,0.4
401,0.312,0.312,0.312,0.0,0.85,0.563,0.398,0.417
402,0.518,0.518,0.518,0.0,0.975,0.623,0.441,0.484
403,0.51,0.51,0.51,0.0,0.958,0.628,0.448,0.502
404,0.518,0.518,0.518,0.0,0.937,0.609,0.444,0.502
405,0.254,0.254,0.254,0.0,0.949,0.582,0.442,0.494
406,0.084,0.084,0.084,0.0,0.967,0.555,0.422,0.481
407,0.076,0.076,0.076,0.0,0.88,0.517,0.399,0.455
