id,from,to,carrier,export_capacity,import_capacity
line063,bus046,bus047,electricity,600.0,600.0
line064,bus046,bus048,electricity,600.0,600.0
line065,bus047,bus049,electricity,600.0,600.0
line066,bus042,bus049,electricity,600.0,600.0
line067,bus042,bus049,electricity,600.0,600.0
line068,bus045,bus049,electricity,600.0,600.0
line069,bus048,bus049,electricity,600.0,600.0
line070,bus049,bus050,electricity,600.0,600.0
line071,bus049,bus051,electricity,600.0,600.0
line072,bus051,bus052,electricity,600.0,600.0
line073,bus052,bus053,electricity,600.0,600.0
line074,bus053,bus054,electricity,600.0,600.0
line075,bus049,bus054,electricity,600.0,600.0
line076,bus049,bus054,electricity,600.0,600.0
line077,bus054,bus055,electricity,600.0,600.0
line078,bus054,bus056,electricity,600.0,600.0
line079,bus055,bus056,electricity,600.0,600.0
line080,bus056,bus057,electricity,600.0,600.0
line081,bus050,bus057,electricity,600.0,600.0
line082,bus056,bus058,electricity,600.0,600.0
line083,bus051,bus058,electricity,600.0,600.0
line084,bus054,bus059,electricity,600.0,600.0
line085,bus056,bus059,electricity,600.0,600.0
line086,bus056,bus059,electricity,600.0,600.0
line087,bus055,bus059,electricity,600.0,600.0
line088,bus059,bus060,electricity,600.0,600.0
line089,bus059,bus061,electricity,600.0,600.0
line090,bus060,bus061,electricity,1700.0,1700.0
line091,bus060,bus062,electricity,600.0,600.0
line092,bus061,bus062,electricity,600.0,600.0
line093,bus063,bus059,electricity,1700.0,1700.0
line094,bus063,bus064,electricity,1700.0,1700.0
line095,bus064,bus061,electricity,1700.0,1700.0
line096,bus038,bus065,electricity,1700.0,1700.0
line097,bus064,bus065,electricity,1700.0,1700.0
line098,bus049,bus066,electricity,1700.0,1700.0
line099,bus049,bus066,electricity,1700.0,1700.0
line100,bus062,bus066,electricity,600.0,600.0
line101,bus062,bus067,electricity,600.0,600.0
line102,bus065,bus066,electricity,1700.0,1700.0
line103,bus066,bus067,electricity,600.0,600.0
line104,bus065,bus068,electricity,1700.0,1700.0
line105,bus047,bus069,electricity,600.0,600.0
line106,bus049,bus069,electricity,600.0,600.0
line107,bus068,bus069,electricity,1700.0,1700.0
line108,bus069,bus070,electricity,1700.0,1700.0
line109,bus024,bus070,electricity,600.0,600.0
line110,bus070,bus071,electricity,600.0,600.0
line111,bus024,bus072,electricity,600.0,600.0
line112,bus071,bus072,electricity,600.0,600.0
line113,bus071,bus073,electricity,600.0,600.0
line114,bus070,bus074,electricity,600.0,600.0
line115,bus070,bus075,electricity,600.0,600.0
line116,bus069,bus075,electricity,1700.0,1700.0
line117,bus074,bus075,electricity,600.0,600.0
line118,bus076,bus077,electricity,600.0,600.0
line119,bus069,bus077,electricity,600.0,600.0
line120,bus075,bus077,electricity,600.0,600.0
line121,bus077,bus078,electricity,600.0,600.0
line122,bus078,bus079,electricity,600.0,600.0
line123,bus077,bus080,electricity,1700.0,1700.0
line124,bus077,bus080,electricity,1700.0,1700.0
line125,bus079,bus080,electricity,600.0,600.0
line126,bus068,bus081,electricity,1700.0,1700.0
line127,bus081,bus080,electricity,1700.0,1700.0
line128,bus077,bus082,electricity,700.0,700.0
line129,bus082,bus083,electricity,1700.0,1700.0
line130,bus083,bus084,electricity,600.0,600.0
line131,bus083,bus085,electricity,600.0,600.0
line132,bus084,bus085,electricity,600.0,600.0
line133,bus085,bus086,electricity,3500.0,3500.0
line134,bus086,bus087,electricity,3500.0,3500.0
line135,bus085,bus088,electricity,1700.0,1700.0
line136,bus085,bus089,electricity,600.0,600.0
line137,bus088,bus089,electricity,1700.0,1700.0
line138,bus089,bus090,electricity,1700.0,1700.0
line139,bus089,bus090,electricity,1700.0,1700.0
line140,bus090,bus091,electricity,600.0,600.0
line141,bus089,bus092,electricity,1700.0,1700.0
line142,bus089,bus092,electricity,1700.0,1700.0
line143,bus091,bus092,electricity,600.0,600.0
line144,bus092,bus093,electricity,600.0,600.0
line145,bus092,bus094,electricity,600.0,600.0
line146,bus093,bus094,electricity,600.0,600.0
line147,bus094,bus095,electricity,600.0,600.0
line148,bus080,bus096,electricity,600.0,600.0
line149,bus082,bus096,electricity,600.0,600.0
line150,bus094,bus096,electricity,600.0,600.0
line151,bus080,bus097,electricity,600.0,600.0
line152,bus080,bus098,electricity,600.0,600.0
line153,bus080,bus099,electricity,700.0,700.0
line154,bus092,bus100,electricity,600.0,600.0
line155,bus094,bus100,electricity,600.0,600.0
line156,bus095,bus096,electricity,600.0,600.0
line157,bus096,bus097,electricity,600.0,600.0
line158,bus098,bus100,electricity,600.0,600.0
line159,bus099,bus100,electricity,600.0,600.0
line160,bus100,bus101,electricity,600.0,600.0
line161,bus092,bus102,electricity,600.0,600.0
line162,bus101,bus102,electricity,600.0,600.0
line163,bus100,bus103,electricity,1700.0,1700.0
line164,bus100,bus104,electricity,600.0,600.0
line165,bus103,bus104,electricity,600.0,600.0
line166,bus103,bus105,electricity,600.0,600.0
line167,bus100,bus106,electricity,600.0,600.0
line168,bus104,bus105,electricity,600.0,600.0
line169,bus105,bus106,electricity,600.0,600.0
line170,bus105,bus107,electricity,600.0,600.0
line171,bus105,bus108,electricity,600.0,600.0
line172,bus106,bus107,electricity,600.0,600.0
line173,bus108,bus109,electricity,600.0,600.0
line174,bus103,bus110,electricity,600.0,600.0
line175,bus109,bus110,electricity,600.0,600.0
line176,bus110,bus111,electricity,600.0,600.0
line177,bus110,bus112,electricity,600.0,600.0
line178,bus017,bus113,electricity,600.0,600.0
line179,bus032,bus113,electricity,1700.0,1700.0
line180,bus032,bus114,electricity,600.0,600.0
line181,bus027,bus115,electricity,600.0,600.0
line182,bus114,bus115,electricity,600.0,600.0
line183,bus068,bus116,electricity,1700.0,1700.0
line184,bus012,bus117,electricity,600.0,600.0
line185,bus075,bus118,electricity,600.0,600.0
line186,bus076,bus118,electricity,600.0,600.0
