timestep,Hydro 01_inflow,Hydro 02_inflow,Hydro 03_inflow,Hydro 04_inflow,Hydro 05_inflow,Hydro 06_inflow,Hydro 07_inflow,Hydro 08_inflow,Hydro 09_inflow,Hydro 10_inflow,Hydro 11_inflow,Hydro 12_inflow,Hydro 13_inflow,Hydro 14_inflow,Hydro 15_inflow,Hydro 16,Hydro 17,Hydro 18,Hydro 19,Hydro 20,Hydro 21,Hydro 22,Hydro 23,Hydro 24,Hydro 25,Hydro 26,Hydro 27,Hydro 28,Hydro 29,Hydro 30,Hydro 31,Hydro 32,Hydro 33,Hydro 34,Hydro 35,Hydro 36,Hydro 37,Hydro 38,Hydro 39,Hydro 40,Hydro 41,Hydro 42,Hydro 43,Solar 01,Solar 02,Solar 03,Solar 04,Solar 05,Solar 06,Solar 07,Solar 08,Solar 09,Solar 10,Solar 11,Solar 12,Solar 13,Solar 14,Solar 15,Solar 16,Solar 17,Solar 18,Solar 19,Solar 20,Solar 21,Solar 22,Solar 23,Solar 24,Solar 25,Solar 26,Solar 27,Solar 28,Solar 29,Solar 30,Solar 31,Solar 32,Solar 33,Solar 34,Solar 35,Solar 36,Solar 37,Solar 38,Solar 39,Solar 40,Solar 41,Solar 42,Solar 43,Solar 44,Solar 45,Solar 46,Solar 47,Solar 48,Solar 49,Solar 50,Solar 51,Solar 52,Solar 53,Solar 54,Solar 55,Solar 56,Solar 57,Solar 58,Solar 59,Solar 60,Solar 61,Solar 62,Solar 63,Solar 64,Solar 65,Solar 66,Solar 67,Solar 68,Solar 69,Solar 70,Solar 71,Solar 72,Solar 73,Solar 74,Solar 75,Wind 01,Wind 02,Wind 03,Wind 04,Wind 05,Wind 06,Wind 07,Wind 08,Wind 09,Wind 10,Wind 11,Wind 12,Wind 13,Wind 14,Wind 15,Wind 16,Wind 17,bus070_Demand,bus031_Demand,bus048_Demand,bus055_Demand,bus004_Demand,bus104_Demand,bus043_Demand,bus074_Demand,bus017_Demand,bus076_Demand,bus040_Demand,bus064_Demand,bus114_Demand,bus032_Demand,bus054_Demand,bus021_Demand,bus116_Demand,bus091_Demand,bus096_Demand,bus037_Demand,bus016_Demand,bus112_Demand,bus012_Demand,bus022_Demand,bus045_Demand,bus067_Demand,bus009_Demand,bus058_Demand,bus003_Demand,bus051_Demand,bus056_Demand,bus099_Demand,bus100_Demand,bus105_Demand,bus109_Demand,bus110_Demand,bus019_Demand,bus039_Demand,bus084_Demand,bus081_Demand,bus036_Demand,bus089_Demand,bus063_Demand,bus098_Demand,bus046_Demand,bus006_Demand,bus052_Demand,bus065_Demand,bus010_Demand,bus028_Demand,bus073_Demand,bus034_Demand,bus115_Demand,bus068_Demand,bus020_Demand,bus044_Demand,bus072_Demand,bus086_Demand,bus033_Demand,bus079_Demand,bus062_Demand,bus087_Demand,bus001_Demand,bus029_Demand,bus101_Demand,bus102_Demand,bus090_Demand,bus053_Demand,bus013_Demand,bus083_Demand,bus097_Demand,bus041_Demand,bus005_Demand,bus078_Demand,bus093_Demand,bus038_Demand,bus002_Demand,bus103_Demand,bus049_Demand,bus082_Demand,bus094_Demand,bus117_Demand,bus018_Demand,bus023_Demand,bus080_Demand,bus092_Demand,bus015_Demand,bus057_Demand,bus011_Demand,bus108_Demand,bus085_Demand,bus008_Demand,bus075_Demand,bus077_Demand,bus042_Demand,bus024_Demand,bus025_Demand,bus030_Demand,bus088_Demand,bus106_Demand,bus014_Demand,bus047_Demand,bus095_Demand,bus111_Demand,bus061_Demand,bus118_Demand,bus066_Demand,bus069_Demand,bus113_Demand,bus027_Demand,bus071_Demand,bus035_Demand,bus060_Demand,bus007_Demand,bus026_Demand,bus107_Demand,bus050_Demand,bus059_Demand
1375,0.582,0.582,0.558,0.558,0.046,0.185,0.185,0.185,0.185,0.185,0.092,0.092,0.754,0.388,0.388,0.203,0.203,0.203,0.041,0.079,0.079,0.079,0.0,0.0,0.028,0.028,0.028,0.0,0.0,0.203,0.203,0.203,0.002,0.002,0.203,0.05,0.05,0.053,0.053,0.024,0.04,0.04,0.044,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.036,0.037,0.089,0.013,0.037,0.023,0.001,0.054,0.054,0.054,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.053,0.097,0.053,0.097,0.053,0.0,0.0,0.053,0.053,0.098,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.556,0.008,0.032,0.374,0.0,0.0,0.0,0.029,0.048,0.017,0.012,0.029,0.037,0.032,0.032,0.03,0.029,0.034,0.059,0.054,0.565,0.622,0.707,0.862,0.437,0.631,0.437,0.437,0.631,0.494,0.437,0.437,0.631,0.437,0.631,0.437,0.494,0.631,0.437,0.631,0.494,0.494,0.494,0.631,0.631,0.494,0.631,0.631,0.437,0.437,0.631,0.437,0.631,0.437,0.437,0.494,0.494,0.494,0.494,0.494,0.631,0.631,0.437,0.437,0.631,0.437,0.437,0.494,0.437,0.631,0.437,0.437,0.631,0.631,0.437,0.631,0.494,0.437,0.631,0.437,0.437,0.437,0.631,0.437,0.437,0.437,0.631,0.631,0.494,0.494,0.437,0.437,0.631,0.437,0.494,0.631,0.631,0.437,0.494,0.631,0.631,0.494,0.437,0.437,0.494,0.494,0.631,0.631,0.437,0.494,0.631,0.437,0.631,0.494,0.437,0.631,0.437,0.437,0.631,0.631,0.631,0.631,0.437,0.494,0.631,0.437,0.494,0.494,0.437,0.494,0.437,0.437,0.494,0.631,0.437,0.631,0.437,0.631,0.631,0.494,0.437,0.437
1376,0.582,0.582,0.558,0.558,0.046,0.185,0.185,0.185,0.185,0.185,0.092,0.092,0.754,0.388,0.388,0.203,0.203,0.203,0.039,0.079,0.079,0.079,0.0,0.0,0.028,0.028,0.028,0.0,0.0,0.203,0.203,0.203,0.03,0.03,0.203,0.05,0.05,0.053,0.053,0.038,0.04,0.04,0.07,0.213,0.338,0.27,0.247,0.242,0.096,0.25,0.247,0.247,0.229,0.247,0.246,0.251,0.247,0.247,0.238,0.247,0.247,0.247,0.229,0.247,0.304,0.25,0.246,0.247,0.246,0.238,0.304,0.304,0.336,0.316,0.322,0.307,0.277,0.171,0.286,0.266,0.308,0.349,0.349,0.349,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.201,0.343,0.238,0.343,0.238,0.343,0.234,0.234,0.343,0.343,0.331,0.238,0.333,0.173,0.599,0.801,0.494,0.219,0.599,0.56,0.726,0.537,0.388,0.741,0.258,0.682,0.568,0.02,0.031,0.023,0.015,0.021,0.029,0.022,0.024,0.024,0.022,0.023,0.051,0.04,0.56,0.586,0.704,0.787,0.467,0.661,0.467,0.467,0.661,0.546,0.467,0.467,0.661,0.467,0.661,0.467,0.546,0.661,0.467,0.661,0.546,0.546,0.546,0.661,0.661,0.546,0.661,0.661,0.467,0.467,0.661,0.467,0.661,0.467,0.467,0.546,0.546,0.546,0.546,0.546,0.661,0.661,0.467,0.467,0.661,0.467,0.467,0.546,0.467,0.661,0.467,0.467,0.661,0.661,0.467,0.661,0.546,0.467,0.661,0.467,0.467,0.467,0.661,0.467,0.467,0.467,0.661,0.661,0.546,0.546,0.467,0.467,0.661,0.467,0.546,0.661,0.661,0.467,0.546,0.661,0.661,0.546,0.467,0.467,0.546,0.546,0.661,0.661,0.467,0.546,0.661,0.467,0.661,0.546,0.467,0.661,0.467,0.467,0.661,0.661,0.661,0.661,0.467,0.546,0.661,0.467,0.546,0.546,0.467,0.546,0.467,0.467,0.546,0.661,0.467,0.661,0.467,0.661,0.661,0.546,0.467,0.467
1377,0.582,0.582,0.558,0.558,0.046,0.185,0.185,0.185,0.185,0.185,0.092,0.092,0.754,0.388,0.388,0.206,0.206,0.206,0.041,0.079,0.079,0.079,0.0,0.0,0.028,0.028,0.028,0.0,0.0,0.206,0.206,0.206,0.03,0.03,0.206,0.05,0.05,0.053,0.053,0.045,0.04,0.04,0.083,0.494,0.624,0.523,0.497,0.486,0.343,0.503,0.496,0.496,0.51,0.497,0.495,0.505,0.496,0.496,0.47,0.496,0.496,0.496,0.511,0.496,0.585,0.503,0.495,0.496,0.495,0.471,0.586,0.585,0.665,0.606,0.6,0.555,0.593,0.58,0.579,0.567,0.673,0.458,0.458,0.458,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.43,0.451,0.654,0.45,0.654,0.45,0.513,0.513,0.451,0.451,0.603,0.654,0.538,0.507,0.695,0.93,0.574,0.597,0.695,0.52,0.773,0.936,0.553,0.606,0.535,0.71,0.591,0.013,0.018,0.03,0.018,0.017,0.019,0.014,0.021,0.02,0.018,0.013,0.039,0.026,0.553,0.549,0.698,0.708,0.48,0.699,0.48,0.48,0.699,0.583,0.48,0.48,0.699,0.48,0.699,0.48,0.583,0.699,0.48,0.699,0.583,0.583,0.583,0.699,0.699,0.583,0.699,0.699,0.48,0.48,0.699,0.48,0.699,0.48,0.48,0.583,0.583,0.583,0.583,0.583,0.699,0.699,0.48,0.48,0.699,0.48,0.48,0.583,0.48,0.699,0.48,0.48,0.699,0.699,0.48,0.699,0.583,0.48,0.699,0.48,0.48,0.48,0.699,0.48,0.48,0.48,0.699,0.699,0.583,0.583,0.48,0.48,0.699,0.48,0.583,0.699,0.699,0.48,0.583,0.699,0.699,0.583,0.48,0.48,0.583,0.583,0.699,0.699,0.48,0.583,0.699,0.48,0.699,0.583,0.48,0.699,0.48,0.48,0.699,0.699,0.699,0.699,0.48,0.583,0.699,0.48,0.583,0.583,0.48,0.583,0.48,0.48,0.583,0.699,0.48,0.699,0.48,0.699,0.699,0.583,0.48,0.48
1378,0.582,0.582,0.558,0.558,0.046,0.185,0.185,0.185,0.185,0.185,0.092,0.092,0.754,0.388,0.388,0.207,0.207,0.207,0.042,0.079,0.079,0.079,0.0,0.0,0.028,0.028,0.028,0.0,0.0,0.207,0.207,0.207,0.03,0.03,0.207,0.05,0.05,0.053,0.053,0.046,0.04,0.04,0.085,0.656,0.732,0.161,0.641,0.627,0.573,0.649,0.64,0.64,0.67,0.641,0.638,0.651,0.64,0.64,0.622,0.641,0.64,0.64,0.67,0.64,0.659,0.648,0.639,0.64,0.639,0.623,0.659,0.659,0.88,0.817,0.834,0.764,0.897,0.829,0.833,0.791,0.843,0.625,0.625,0.625,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.6,0.615,0.678,0.615,0.678,0.615,0.642,0.642,0.615,0.615,0.698,0.678,0.684,0.802,0.706,0.945,0.583,0.729,0.706,0.619,1.0,1.0,0.712,0.712,0.797,0.947,0.788,0.011,0.013,0.035,0.02,0.016,0.016,0.012,0.019,0.017,0.017,0.011,0.031,0.021,0.544,0.521,0.688,0.646,0.479,0.731,0.479,0.479,0.731,0.598,0.479,0.479,0.731,0.479,0.731,0.479,0.598,0.731,0.479,0.731,0.598,0.598,0.598,0.731,0.731,0.598,0.731,0.731,0.479,0.479,0.731,0.479,0.731,0.479,0.479,0.598,0.598,0.598,0.598,0.598,0.731,0.731,0.479,0.479,0.731,0.479,0.479,0.598,0.479,0.731,0.479,0.479,0.731,0.731,0.479,0.731,0.598,0.479,0.731,0.479,0.479,0.479,0.731,0.479,0.479,0.479,0.731,0.731,0.598,0.598,0.479,0.479,0.731,0.479,0.598,0.731,0.731,0.479,0.598,0.731,0.731,0.598,0.479,0.479,0.598,0.598,0.731,0.731,0.479,0.598,0.731,0.479,0.731,0.598,0.479,0.731,0.479,0.479,0.731,0.731,0.731,0.731,0.479,0.598,0.731,0.479,0.598,0.598,0.479,0.598,0.479,0.479,0.598,0.731,0.479,0.731,0.479,0.731,0.731,0.598,0.479,0.479
1379,0.582,0.582,0.558,0.558,0.046,0.185,0.185,0.185,0.185,0.185,0.092,0.092,0.754,0.388,0.388,0.21,0.21,0.21,0.045,0.079,0.079,0.079,0.0,0.0,0.029,0.029,0.029,0.0,0.0,0.21,0.21,0.21,0.03,0.03,0.21,0.05,0.05,0.053,0.053,0.042,0.04,0.04,0.076,0.754,0.793,0.418,0.734,0.719,0.73,0.744,0.734,0.734,0.701,0.735,0.732,0.746,0.734,0.734,0.792,0.734,0.734,0.734,0.701,0.734,0.708,0.743,0.732,0.733,0.732,0.793,0.709,0.709,1.0,0.955,0.983,0.922,1.0,0.985,0.974,0.918,0.823,0.745,0.745,0.745,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.697,0.733,0.685,0.733,0.685,0.733,0.627,0.627,0.733,0.733,0.794,0.685,0.778,1.0,0.837,1.0,0.691,0.809,0.837,0.978,0.994,0.968,0.894,0.915,1.0,1.0,0.906,0.012,0.012,0.038,0.022,0.017,0.014,0.012,0.019,0.017,0.017,0.012,0.025,0.018,0.535,0.498,0.68,0.601,0.47,0.74,0.47,0.47,0.74,0.592,0.47,0.47,0.74,0.47,0.74,0.47,0.592,0.74,0.47,0.74,0.592,0.592,0.592,0.74,0.74,0.592,0.74,0.74,0.47,0.47,0.74,0.47,0.74,0.47,0.47,0.592,0.592,0.592,0.592,0.592,0.74,0.74,0.47,0.47,0.74,0.47,0.47,0.592,0.47,0.74,0.47,0.47,0.74,0.74,0.47,0.74,0.592,0.47,0.74,0.47,0.47,0.47,0.74,0.47,0.47,0.47,0.74,0.74,0.592,0.592,0.47,0.47,0.74,0.47,0.592,0.74,0.74,0.47,0.592,0.74,0.74,0.592,0.47,0.47,0.592,0.592,0.74,0.74,0.47,0.592,0.74,0.47,0.74,0.592,0.47,0.74,0.47,0.47,0.74,0.74,0.74,0.74,0.47,0.592,0.74,0.47,0.592,0.592,0.47,0.592,0.47,0.47,0.592,0.74,0.47,0.74,0.47,0.74,0.74,0.592,0.47,0.47
1380,0.582,0.582,0.558,0.558,0.046,0.185,0.185,0.185,0.185,0.185,0.092,0.092,0.754,0.388,0.388,0.215,0.215,0.215,0.044,0.079,0.079,0.079,0.0,0.0,0.029,0.029,0.029,0.0,0.0,0.215,0.215,0.215,0.03,0.03,0.215,0.05,0.05,0.053,0.053,0.041,0.04,0.04,0.075,0.814,0.811,0.314,0.797,0.78,0.837,0.808,0.796,0.796,0.808,0.798,0.794,0.81,0.796,0.797,0.791,0.797,0.796,0.796,0.808,0.796,0.767,0.806,0.794,0.796,0.794,0.792,0.768,0.768,1.0,1.0,1.0,0.955,1.0,1.0,1.0,0.984,1.0,0.789,0.789,0.789,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.747,0.776,0.732,0.776,0.732,0.776,0.853,0.853,0.776,0.776,0.809,0.732,0.868,1.0,0.906,1.0,0.748,0.865,0.906,0.984,1.0,0.991,0.989,0.985,1.0,1.0,0.996,0.016,0.017,0.048,0.026,0.031,0.015,0.017,0.033,0.03,0.029,0.017,0.022,0.017,0.513,0.461,0.66,0.541,0.463,0.742,0.463,0.463,0.742,0.581,0.463,0.463,0.742,0.463,0.742,0.463,0.581,0.742,0.463,0.742,0.581,0.581,0.581,0.742,0.742,0.581,0.742,0.742,0.463,0.463,0.742,0.463,0.742,0.463,0.463,0.581,0.581,0.581,0.581,0.581,0.742,0.742,0.463,0.463,0.742,0.463,0.463,0.581,0.463,0.742,0.463,0.463,0.742,0.742,0.463,0.742,0.581,0.463,0.742,0.463,0.463,0.463,0.742,0.463,0.463,0.463,0.742,0.742,0.581,0.581,0.463,0.463,0.742,0.463,0.581,0.742,0.742,0.463,0.581,0.742,0.742,0.581,0.463,0.463,0.581,0.581,0.742,0.742,0.463,0.581,0.742,0.463,0.742,0.581,0.463,0.742,0.463,0.463,0.742,0.742,0.742,0.742,0.463,0.581,0.742,0.463,0.581,0.581,0.463,0.581,0.463,0.463,0.581,0.742,0.463,0.742,0.463,0.742,0.742,0.581,0.463,0.463
1381,0.582,0.582,0.558,0.558,0.046,0.185,0.185,0.185,0.185,0.185,0.092,0.092,0.754,0.388,0.388,0.215,0.215,0.215,0.05,0.079,0.079,0.079,0.0,0.0,0.029,0.029,0.029,0.0,0.0,0.215,0.215,0.215,0.03,0.03,0.215,0.05,0.05,0.053,0.053,0.047,0.04,0.04,0.086,0.839,0.814,0.296,0.784,0.767,0.88,0.794,0.783,0.783,0.824,0.784,0.781,0.796,0.783,0.783,0.799,0.783,0.783,0.783,0.824,0.783,0.805,0.793,0.781,0.782,0.781,0.8,0.806,0.805,1.0,0.995,0.938,0.866,1.0,1.0,1.0,0.975,1.0,0.793,0.793,0.793,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.739,0.78,0.754,0.78,0.754,0.78,0.846,0.846,0.78,0.78,0.797,0.753,0.868,1.0,0.92,1.0,0.76,0.864,0.92,1.0,1.0,1.0,1.0,0.942,1.0,1.0,1.0,0.025,0.028,0.071,0.036,0.066,0.021,0.027,0.071,0.064,0.065,0.027,0.026,0.021,0.467,0.399,0.612,0.457,0.458,0.741,0.458,0.458,0.741,0.559,0.458,0.458,0.741,0.458,0.741,0.458,0.559,0.741,0.458,0.741,0.559,0.559,0.559,0.741,0.741,0.559,0.741,0.741,0.458,0.458,0.741,0.458,0.741,0.458,0.458,0.559,0.559,0.559,0.559,0.559,0.741,0.741,0.458,0.458,0.741,0.458,0.458,0.559,0.458,0.741,0.458,0.458,0.741,0.741,0.458,0.741,0.559,0.458,0.741,0.458,0.458,0.458,0.741,0.458,0.458,0.458,0.741,0.741,0.559,0.559,0.458,0.458,0.741,0.458,0.559,0.741,0.741,0.458,0.559,0.741,0.741,0.559,0.458,0.458,0.559,0.559,0.741,0.741,0.458,0.559,0.741,0.458,0.741,0.559,0.458,0.741,0.458,0.458,0.741,0.741,0.741,0.741,0.458,0.559,0.741,0.458,0.559,0.559,0.458,0.559,0.458,0.458,0.559,0.741,0.458,0.741,0.458,0.741,0.741,0.559,0.458,0.458
1382,0.582,0.582,0.558,0.558,0.046,0.185,0.185,0.185,0.185,0.185,0.092,0.092,0.754,0.388,0.388,0.215,0.215,0.215,0.052,0.078,0.078,0.078,0.0,0.0,0.029,0.029,0.029,0.0,0.0,0.215,0.215,0.215,0.03,0.03,0.215,0.05,0.05,0.053,0.053,0.053,0.04,0.04,0.098,0.802,0.759,0.789,0.77,0.754,0.746,0.78,0.769,0.769,0.787,0.77,0.767,0.782,0.769,0.769,0.706,0.77,0.769,0.769,0.787,0.769,0.758,0.779,0.767,0.769,0.767,0.707,0.759,0.758,0.999,1.0,0.908,0.848,0.97,0.996,0.953,0.845,1.0,0.746,0.746,0.746,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.641,0.734,0.711,0.734,0.712,0.734,0.796,0.796,0.734,0.734,0.74,0.711,0.853,1.0,0.892,1.0,0.737,0.825,0.892,0.998,0.945,0.938,0.871,0.918,1.0,1.0,0.952,0.038,0.045,0.105,0.052,0.117,0.031,0.04,0.128,0.117,0.119,0.041,0.037,0.03,0.401,0.319,0.541,0.359,0.46,0.731,0.46,0.46,0.731,0.54,0.46,0.46,0.731,0.46,0.731,0.46,0.54,0.731,0.46,0.731,0.54,0.54,0.54,0.731,0.731,0.54,0.731,0.731,0.46,0.46,0.731,0.46,0.731,0.46,0.46,0.54,0.54,0.54,0.54,0.54,0.731,0.731,0.46,0.46,0.731,0.46,0.46,0.54,0.46,0.731,0.46,0.46,0.731,0.731,0.46,0.731,0.54,0.46,0.731,0.46,0.46,0.46,0.731,0.46,0.46,0.46,0.731,0.731,0.54,0.54,0.46,0.46,0.731,0.46,0.54,0.731,0.731,0.46,0.54,0.731,0.731,0.54,0.46,0.46,0.54,0.54,0.731,0.731,0.46,0.54,0.731,0.46,0.731,0.54,0.46,0.731,0.46,0.46,0.731,0.731,0.731,0.731,0.46,0.54,0.731,0.46,0.54,0.54,0.46,0.54,0.46,0.46,0.54,0.731,0.46,0.731,0.46,0.731,0.731,0.54,0.46,0.46
1383,0.582,0.582,0.558,0.558,0.046,0.185,0.185,0.185,0.185,0.185,0.092,0.092,0.754,0.388,0.388,0.214,0.214,0.214,0.045,0.078,0.078,0.078,0.0,0.0,0.029,0.029,0.029,0.0,0.0,0.214,0.214,0.214,0.03,0.03,0.214,0.05,0.05,0.053,0.053,0.052,0.04,0.04,0.095,0.725,0.668,0.582,0.686,0.672,0.664,0.696,0.686,0.686,0.69,0.687,0.684,0.698,0.686,0.686,0.656,0.686,0.686,0.686,0.69,0.686,0.662,0.695,0.684,0.686,0.684,0.657,0.663,0.663,0.928,0.876,0.789,0.758,0.818,0.893,0.8,0.713,0.931,0.646,0.646,0.646,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.541,0.636,0.607,0.635,0.607,0.635,0.709,0.709,0.636,0.636,0.624,0.606,0.737,0.714,0.838,1.0,0.692,0.746,0.838,1.0,0.842,0.826,0.735,0.8,0.997,1.0,0.863,0.051,0.063,0.148,0.075,0.178,0.043,0.054,0.196,0.179,0.183,0.057,0.052,0.042,0.325,0.233,0.456,0.256,0.467,0.72,0.467,0.467,0.72,0.53,0.467,0.467,0.72,0.467,0.72,0.467,0.53,0.72,0.467,0.72,0.53,0.53,0.53,0.72,0.72,0.53,0.72,0.72,0.467,0.467,0.72,0.467,0.72,0.467,0.467,0.53,0.53,0.53,0.53,0.53,0.72,0.72,0.467,0.467,0.72,0.467,0.467,0.53,0.467,0.72,0.467,0.467,0.72,0.72,0.467,0.72,0.53,0.467,0.72,0.467,0.467,0.467,0.72,0.467,0.467,0.467,0.72,0.72,0.53,0.53,0.467,0.467,0.72,0.467,0.53,0.72,0.72,0.467,0.53,0.72,0.72,0.53,0.467,0.467,0.53,0.53,0.72,0.72,0.467,0.53,0.72,0.467,0.72,0.53,0.467,0.72,0.467,0.467,0.72,0.72,0.72,0.72,0.467,0.53,0.72,0.467,0.53,0.53,0.467,0.53,0.467,0.467,0.53,0.72,0.467,0.72,0.467,0.72,0.72,0.53,0.467,0.467
1384,0.582,0.582,0.558,0.558,0.046,0.185,0.185,0.185,0.185,0.185,0.092,0.092,0.754,0.388,0.388,0.183,0.183,0.183,0.047,0.078,0.078,0.078,0.0,0.0,0.025,0.025,0.025,0.0,0.0,0.183,0.183,0.183,0.03,0.03,0.183,0.05,0.05,0.053,0.053,0.046,0.04,0.04,0.085,0.582,0.536,0.622,0.564,0.552,0.521,0.572,0.564,0.564,0.543,0.565,0.562,0.573,0.564,0.564,0.535,0.564,0.564,0.564,0.543,0.564,0.497,0.571,0.562,0.563,0.562,0.536,0.498,0.498,0.757,0.733,0.579,0.526,0.597,0.693,0.589,0.53,0.701,0.479,0.479,0.479,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.402,0.471,0.459,0.471,0.459,0.471,0.534,0.534,0.471,0.471,0.453,0.459,0.555,0.746,0.658,0.881,0.544,0.648,0.658,0.835,0.667,0.685,0.742,0.658,0.831,0.98,0.815,0.065,0.081,0.195,0.103,0.238,0.055,0.068,0.265,0.243,0.249,0.071,0.068,0.055,0.249,0.15,0.37,0.16,0.491,0.71,0.491,0.491,0.71,0.536,0.491,0.491,0.71,0.491,0.71,0.491,0.536,0.71,0.491,0.71,0.536,0.536,0.536,0.71,0.71,0.536,0.71,0.71,0.491,0.491,0.71,0.491,0.71,0.491,0.491,0.536,0.536,0.536,0.536,0.536,0.71,0.71,0.491,0.491,0.71,0.491,0.491,0.536,0.491,0.71,0.491,0.491,0.71,0.71,0.491,0.71,0.536,0.491,0.71,0.491,0.491,0.491,0.71,0.491,0.491,0.491,0.71,0.71,0.536,0.536,0.491,0.491,0.71,0.491,0.536,0.71,0.71,0.491,0.536,0.71,0.71,0.536,0.491,0.491,0.536,0.536,0.71,0.71,0.491,0.536,0.71,0.491,0.71,0.536,0.491,0.71,0.491,0.491,0.71,0.71,0.71,0.71,0.491,0.536,0.71,0.491,0.536,0.536,0.491,0.536,0.491,0.491,0.536,0.71,0.491,0.71,0.491,0.71,0.71,0.536,0.491,0.491
1385,0.582,0.582,0.558,0.558,0.046,0.185,0.185,0.185,0.185,0.185,0.092,0.092,0.754,0.388,0.388,0.165,0.165,0.165,0.049,0.079,0.079,0.079,0.0,0.0,0.022,0.022,0.022,0.0,0.0,0.165,0.165,0.165,0.032,0.032,0.165,0.05,0.05,0.053,0.053,0.042,0.04,0.04,0.078,0.38,0.307,0.374,0.363,0.356,0.301,0.368,0.363,0.363,0.329,0.364,0.362,0.369,0.363,0.363,0.329,0.363,0.363,0.363,0.329,0.363,0.302,0.368,0.362,0.363,0.362,0.329,0.302,0.302,0.465,0.425,0.31,0.3,0.346,0.397,0.332,0.303,0.411,0.26,0.26,0.26,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.23,0.256,0.266,0.256,0.267,0.255,0.313,0.313,0.256,0.256,0.263,0.266,0.314,0.482,0.357,0.478,0.295,0.52,0.357,0.412,0.425,0.488,0.52,0.381,0.664,0.73,0.608,0.077,0.094,0.243,0.138,0.292,0.065,0.079,0.327,0.3,0.309,0.082,0.08,0.066,0.183,0.083,0.291,0.081,0.483,0.717,0.483,0.483,0.717,0.601,0.483,0.483,0.717,0.483,0.717,0.483,0.601,0.717,0.483,0.717,0.601,0.601,0.601,0.717,0.717,0.601,0.717,0.717,0.483,0.483,0.717,0.483,0.717,0.483,0.483,0.601,0.601,0.601,0.601,0.601,0.717,0.717,0.483,0.483,0.717,0.483,0.483,0.601,0.483,0.717,0.483,0.483,0.717,0.717,0.483,0.717,0.601,0.483,0.717,0.483,0.483,0.483,0.717,0.483,0.483,0.483,0.717,0.717,0.601,0.601,0.483,0.483,0.717,0.483,0.601,0.717,0.717,0.483,0.601,0.717,0.717,0.601,0.483,0.483,0.601,0.601,0.717,0.717,0.483,0.601,0.717,0.483,0.717,0.601,0.483,0.717,0.483,0.483,0.717,0.717,0.717,0.717,0.483,0.601,0.717,0.483,0.601,0.601,0.483,0.601,0.483,0.483,0.601,0.717,0.483,0.717,0.483,0.717,0.717,0.601,0.483,0.483
